episode;steps;reward;average
290;96;-77.5238491136752;-316.67539860052267
291;1000;-207.02460301292385;-312.94115864241843
292;349;-190.12866868252013;-309.54032806900295
293;458;249.1553177971007;-301.72076394434004
294;393;330.65350590890654;-293.75189806655385
295;234;342.4276568918941;-285.1943265057558
296;236;-140.16676769519657;-283.7344278694091
297;262;312.9835058451787;-283.21937255627074
298;254;339.82055844793615;-282.6889540298561
299;490;293.7008803838153;-278.2098268626648
300;233;284.0474991834717;-270.14828453656
301;427;324.56397948094326;-264.5972842948055
302;170;-130.34617431145318;-261.12294429948525
303;379;273.58275409857237;-259.656468379272
304;528;269.60265267702897;-258.93528281052494
305;622;261.11570008676324;-254.37096459044653
306;268;328.704143997978;-248.8407818389336
307;242;260.6190126740824;-248.42712572049132
308;231;-112.49231771003025;-247.546852245168
309;511;193.28083319526203;-246.6965334457105
310;1000;-271.01911390905764;-251.0642063533304
311;1000;-236.84050122896238;-252.6521335460158
312;1000;-265.05433719264164;-252.83917864715843
313;1000;-180.88304204701097;-257.8407049037563
314;520;-253.89298995469287;-263.7459144209939
315;445;295.65539736201185;-263.7233148675609
316;1000;-90.49929009166621;-267.5702050741168
317;373;-231.9093299782213;-268.6870916588254
318;460;228.78437723599683;-264.87824041009867
319;261;297.7819571963017;-256.8855941008056
320;217;309.48974932490444;-251.87841552878544
321;246;321.7131535916374;-244.63433167924958
322;387;296.40152256664487;-239.85552703482708
323;1000;-182.61412887902358;-236.7227028138063
324;1000;-206.12625462150976;-233.68622658492123
325;1000;-128.59652373532074;-229.22020997576092
326;110;-234.52526528635565;-228.03650729918402
327;60;-203.2890236478845;-224.44260420797997
328;61;-235.33997814028484;-221.29317408203033
329;59;-220.4139270992581;-219.66749469378559
330;60;-242.14509004152444;-216.94341857401608
331;597;154.93318507911633;-210.2684463449284
332;1000;-0.7368842472284043;-208.85174193066018
333;321;295.17439694879806;-204.19615846942347
334;668;-304.22879474227904;-205.67833506560223
335;295;-133.9966756823527;-205.31957392151398
336;210;300.9815054051967;-197.20253928589491
337;270;277.32106761375655;-189.84061140375303
338;262;320.01865569096617;-182.04317942068965
339;347;294.81255225852664;-174.98945450478365
340;247;327.2608598788861;-166.85307670648461
341;445;336.65625313812404;-161.58132046055715
342;1000;-111.61134505031443;-157.4908538860545
343;1000;-6.491826642667486;-152.2984870320024
344;319;228.49209191783478;-144.72689978603012
345;251;345.07297597993755;-138.79033709626617
346;405;273.0781066132516;-132.73287927880705
347;1000;-201.8343885806898;-129.19359088288843
348;818;121.40872706162762;-125.53896681889128
349;211;278.65199777672547;-121.0225168616851
350;417;242.81893618199172;-113.4607483348103
351;315;262.22347353623667;-106.06797748763783
352;235;326.0182734115233;-100.97067945282306
353;111;-110.58968691821703;-96.35877643442
354;293;323.31316556994034;-88.2399689106028
355;1000;-57.294382372841206;-87.18848833845986
356;1000;-564.99326439156;-89.1478270949514
357;162;-260.41178463736713;-88.9674644720172
358;76;-257.4065656074998;-89.92566803872847
359;59;-237.44636523252302;-90.60968794616758
360;114;-177.42057498831886;-87.09957200412359
361;690;281.5629440988284;-78.66655819327312
362;644;152.81080153939504;-72.67326764809108
363;313;312.8547346861288;-65.15529878388284
364;1000;34.721034173150365;-59.5732918556092
365;1000;-170.1283824938004;-56.815074787740166
366;1000;-55.457920029489316;-52.15389281500856
367;1000;-190.30108476109123;-48.78059060945671
368;878;134.40942801516536;-42.0500896171773
369;86;-243.48061871605944;-41.872206787175244
370;1000;-82.45906056265305;-37.04656810628253
371;708;221.40952126765498;-31.156706944293724
372;824;219.47355040694603;-24.209028681132118
373;396;242.99463296808977;-16.43012894480847
374;837;142.19496601801063;-13.064938831494214
375;240;301.2711236232079;-4.770616166928516
376;228;324.3154054554877;3.7133216672245113
377;346;272.3359916693425;11.536523603172215
378;263;337.1422188837712;20.16599642958244
379;364;297.0587760480074;28.351438889612872
380;122;-141.6580173179189;31.993159069049103
381;87;-223.13504862812133;35.18156387043702
382;790;160.3372676658683;38.562911313659335
383;1000;85.74855278807766;44.81614056682028
384;217;-173.18636497129197;47.68175744782128
385;402;282.9091881121787;55.53680076890642
386;439;-168.4592034231076;59.262155140102834
387;77;-285.9552992998552;58.8352503661389
388;57;-219.07602473920153;57.82121291539
389;94;-197.0443048911071;57.10235474121412
390;69;-233.817414579056;55.53941908656031
391;124;-155.4936578760367;56.054728537929186
392;1000;-71.93773724888112;57.236637852265574
393;318;275.1312317736157;57.496396992030725
394;320;293.41078936436304;57.12396982658529
395;272;290.4013956223348;56.60370721388969
396;130;-77.69581582104149;57.22841673263124
397;305;321.13563796450967;57.309938053824546
398;504;300.71410400908087;56.91887350943599
399;363;295.5425040083064;56.9372897456809
400;116;-121.59410074833784;52.8808737463628
401;1000;-36.583192051861914;49.26940203103476
402;416;275.14420895158565;53.32430586366514
403;469;310.157770553624;53.69005602821566
